name,online_order,book_table,rate,votes,location,rest_type,cuisines,price
MR Mess,0,0,0.0,0,Old Airport Road,Quick Bites,South Indian,300
Kings Kitchen,0,0,0.0,0,Domlur,Delivery/Takeaway,South Indian,500
Biryani Point,0,0,0.0,0,Domlur,Quick Bites,South Indian,300
AULI,0,0,0.0,0,Thippasandra,Delivery/Takeaway,Continental,500
Rich Bowl,0,0,0.0,0,Thippasandra,Delivery/Takeaway,North Indian,450
Mounika Andhra Mess,0,0,0.0,0,CV Raman Nagar,Casual Dining,South Indian,400
Ambur Hot Dum Biriyani & Kabab Center,0,0,0.0,0,Thippasandra,Quick Bites,South Indian,200
The Tower Of Pizza,0,0,2.9,68,Jeevan Bhima Nagar,Delivery/Takeaway,Fast Food,500
The Daily Dabba,0,0,0.0,0,Thippasandra,Delivery/Takeaway,North Indian,250
Rahaman's Mess,0,0,0.0,0,Thippasandra,Casual Dining,South Indian,200
Muttonwah!,0,0,0.0,0,Old Airport Road,Delivery/Takeaway,North Indian,500
Night Panda,0,0,3.5,12,Jeevan Bhima Nagar,Delivery/Takeaway,Fast Food,500
@North Parontha Hut,0,0,0.0,0,Old Airport Road,Delivery/Takeaway,North Indian,300
Nawabi Kitchen,0,0,0.0,0,Thippasandra,Casual Dining,North Indian,600
24 Hours Cake Delivery,0,0,3.3,4,Old Airport Road,Delivery/Takeaway,Fast Food,700
Bake a Smile,0,0,3.4,9,Old Airport Road,Delivery/Takeaway,Fast Food,400
Shawn's Bakehouse,0,0,0.0,0,Old Airport Road,Quick Bites,Fast Food,100
Tandoorinn,0,0,3.2,5,Old Madras Road,Quick Bites,South Indian,300
Cake Inc.,0,0,0.0,0,Domlur,Quick Bites,Fast Food,450
Cream and Bakes,0,0,3.5,14,Domlur,Dessert,Cafe,100
Oven Fresh,0,0,0.0,0,Domlur,Quick Bites,Fast Food,600
Hotel Raravees,0,0,0.0,0,Old Airport Road,Quick Bites,North Indian,400
The French Loaf,0,0,0.0,0,Domlur,Quick Bites,Fast Food,400
Me And My Cake,0,0,0.0,0,Old Airport Road,Unknown,Fast Food,500
Shiv Bargav's Chit Chat,0,0,0.0,0,CV Raman Nagar,Quick Bites,Fast Food,200
Your's Kitchen,0,0,0.0,0,Old Airport Road,Delivery/Takeaway,North Indian,200
Amar Kolkata,0,0,3.2,4,Old Airport Road,Quick Bites,North Indian,300
GulpnBurp,0,0,0.0,0,Old Airport Road,Delivery/Takeaway,North Indian,400
Aburrahaman,0,0,0.0,0,Thippasandra,Delivery/Takeaway,North Indian,400
Indish Flavour,0,0,0.0,0,Jeevan Bhima Nagar,Quick Bites,North Indian,450
Sri Udupi Food Hub,0,0,0.0,0,Domlur,Casual Dining,South Indian,500
Eggzotic,0,0,4.0,391,Domlur,Quick Bites,North Indian,500
Ambur Biriyani,0,0,3.2,4,Old Airport Road,Quick Bites,South Indian,200
Kerala Vibes,0,0,3.6,80,Jeevan Bhima Nagar,Casual Dining,South Indian,500
Desi Tadka Khana,0,0,0.0,0,Thippasandra,Delivery/Takeaway,North Indian,400
Shiv Sagar,0,0,0.0,0,Domlur,Quick Bites,South Indian,250
RAAT KI FOOD,0,0,0.0,0,Indiranagar,Delivery/Takeaway,Asian,300
Bangalore Express,0,0,0.0,0,Thippasandra,Delivery/Takeaway,North Indian,300
CraveBelly Veg & Non veg,0,0,0.0,0,Old Airport Road,Quick Bites,Fast Food,150
Bowls & Combos Co.,0,0,0.0,0,Indiranagar,Delivery/Takeaway,Asian,300
TFC - Tony's Food Corner,1,0,3.1,23,"ITPL Main Road, Whitefield",Casual Dining,North Indian,400
Crispy Crust Pizza,1,0,3.1,45,Indiranagar,Delivery/Takeaway,Fast Food,450
Shyamali Fast Food Kolkata Style,1,0,0.0,0,Ejipura,Quick Bites,South Indian,250
Jumping Beans,1,0,4.0,220,Old Madras Road,Cafe,Cafe,850
The Parotta Master,1,0,2.9,43,Jeevan Bhima Nagar,Delivery/Takeaway,South Indian,400
Mayo N Burger,1,0,3.2,4,Indiranagar,Quick Bites,Continental,250
Sudama Restaurant,1,0,0.0,0,Ulsoor,Delivery/Takeaway,South Indian,300
Frozen Bite,1,0,0.0,0,Old Airport Road,Quick Bites,Beverages,250
FTB Restaurant,1,0,0.0,0,Thippasandra,Delivery/Takeaway,North Indian,500
Waffle In The Box,1,0,0.0,0,Thippasandra,Dessert,Cafe,300
CK's Bakery,1,0,0.0,0,City Market,Quick Bites,Fast Food,200
Bowlful,1,0,3.6,12,Domlur,Delivery/Takeaway,North Indian,500
Cinnamon's Kitchen,1,0,3.7,25,Old Airport Road,Quick Bites,North Indian,300
Hungry Darjeeling Chinese and Thai,1,0,0.0,0,Thippasandra,Quick Bites,Asian,300
SOS,1,0,0.0,0,Indiranagar,Quick Bites,North Indian,300
Mojo Pizza - 2X Toppings,1,0,4.3,203,Indiranagar,Delivery/Takeaway,Fast Food,600
Upsouth,1,0,3.8,52,Banaswadi,Quick Bites,South Indian,200
Lavonne,0,0,4.4,1099,Indiranagar,Cafe,Cafe,800
Milano Ice Cream,0,0,4.9,2090,Indiranagar,Dessert,Cafe,400
CakeWalk,0,0,4.1,540,Indiranagar,Dessert,Cafe,500
Natural Ice Cream,0,0,4.6,922,Indiranagar,Dessert,Cafe,150
Spoonful Of Sugar,0,0,4.0,863,Indiranagar,Dessert,Cafe,800
Pulla Reddy Sweets,0,0,3.6,27,Indiranagar,Dessert,East Indian,250
Amma's Pastries,0,0,4.0,74,Indiranagar,Dessert,Fast Food,400
Shree Mithai,0,0,3.5,11,Indiranagar,Quick Bites,Cafe,150
Sweet Truth,1,0,4.0,48,Indiranagar,Delivery/Takeaway,Fast Food,500
The French Loaf,1,0,3.5,138,Indiranagar,Quick Bites,Fast Food,400
Bhikaram Chandmal Bhujiawala,0,0,3.0,41,Indiranagar,Quick Bites,North Indian,150
KC Das - Sweet Paradise,0,0,2.9,52,Indiranagar,Dessert,East Indian,200
Cafe Coffee Day The Lounge,1,0,2.9,59,Indiranagar,Cafe,Cafe,650
Baskin Robbins,0,0,3.8,80,Indiranagar,Dessert,Cafe,250
Orchard Fresh,0,0,3.4,4,Indiranagar,Dessert,Cafe,400
Nandhana Mithai,0,0,0.0,0,Indiranagar,Dessert,East Indian,500
The Lassi Palace,0,0,0.0,0,Indiranagar,Dessert,Cafe,150
Stand View Cake N Snack,0,0,0.0,0,Indiranagar,Quick Bites,Fast Food,300
Ice Creamist,0,0,0.0,0,Indiranagar,Dessert,Cafe,300
Madhu Iyengars Bakery,0,0,3.6,19,Domlur,Quick Bites,Fast Food,400
Amrutha Sweets,0,0,3.7,36,Thippasandra,Quick Bites,Fast Food,200
Shanthi Sweets & Bakery,0,0,3.4,9,Thippasandra,Dessert,East Indian,200
Delicious Ice Cream Parlour,0,0,3.2,6,Jeevan Bhima Nagar,Dessert,Cafe,300
Kanti's,1,0,3.3,66,Thippasandra,Dessert,East Indian,300
Cafe Oleiva,0,0,3.3,6,Thippasandra,Cafe,Cafe,500
Fudgy Love Designer Cakes,0,0,3.7,20,Domlur,Quick Bites,Fast Food,600
Cafe Velvette,0,0,3.5,11,Domlur,Cafe,Cafe,400
Oven Fresh,0,0,0.0,0,Domlur,Quick Bites,Fast Food,600
Cake N Cream,0,0,0.0,0,Jeevan Bhima Nagar,Quick Bites,Fast Food,360
Chill Out,0,0,3.4,9,Thippasandra,Quick Bites,Beverages,150
Cake Inc.,0,0,0.0,0,Domlur,Quick Bites,Fast Food,450
Cream and Bakes,0,0,3.5,14,Domlur,Dessert,Cafe,100
Indira Sweets,0,0,0.0,0,Thippasandra,Quick Bites,Fast Food,100
The Leela Cake Shop - The Leela Palace,0,0,3.9,72,Old Airport Road,Dessert,Cafe,1200
Ice Cream Buggy,0,0,3.6,14,East Bangalore,Quick Bites,Cafe,100
Banchharam,0,0,3.9,65,Ulsoor,Quick Bites,Fast Food,200
4 Mangoes,0,0,3.7,14,Old Airport Road,Quick Bites,Cafe,200
New Udupi Fresh Juice Centre,0,0,3.4,9,CV Raman Nagar,Quick Bites,Cafe,200
Homey Bake & Juice,0,0,0.0,0,Old Airport Road,Quick Bites,Fast Food,100
Sly Granny - The Community House,0,1,4.4,953,Indiranagar,Casual Dining,North Indian,2500
Nevermind - Bar & Social,0,1,0.0,0,Indiranagar,Casual Dining,Continental,1700
Barbeque Nation,0,1,4.7,7160,Indiranagar,Casual Dining,North Indian,1600
Toit,0,0,4.7,14956,Indiranagar,Bar,Continental,1500
Bob's Bar,0,0,4.3,424,Indiranagar,Bar,South Indian,1000
Arena - Artisanal Brewkitchen,0,1,4.1,177,Indiranagar,Bar,Asian,2000
Vapour Pub & Brewery,0,1,4.2,6907,Indiranagar,Bar,North Indian,1400
The Black Rabbit,0,1,4.3,4187,Indiranagar,Bar,Continental,1500
1131 Bar + Kitchen,0,1,4.6,2785,Indiranagar,Bar,Continental,1500
Three Dots & A Dash,0,1,4.1,3864,Indiranagar,Casual Dining,Continental,1300
LOFT38,0,1,4.3,3592,Indiranagar,Casual Dining,Continental,2100
Chianti,0,1,4.7,4398,Indiranagar,Casual Dining,Continental,1500
Tipsy Bull - The Bar Exchange,0,1,4.4,2993,Indiranagar,Bar,Asian,1400
BTDT? Been There Done That,0,1,4.3,879,Indiranagar,Bar,Continental,1300
Tippler,0,1,4.2,2901,Indiranagar,Bar,Continental,1300
Bricklane,0,1,4.2,1633,Indiranagar,Casual Dining,Continental,1500
Phobidden Fruit,0,0,4.4,2921,Indiranagar,Casual Dining,Asian,1100
Bologna,0,1,4.5,717,Indiranagar,Casual Dining,Continental,1000
The Marina,0,0,4.4,542,Indiranagar,Casual Dining,Seafood,1200
Barebones - The Balcony Bar,0,1,4.2,2445,Indiranagar,Bar,Asian,1500
Esplanade,0,0,4.3,1563,Indiranagar,Casual Dining,North Indian,1000
Cafe Max,0,0,4.2,1654,Indiranagar,Cafe,Cafe,1300
Chinita Real Mexican Food,0,0,4.4,2658,Indiranagar,Casual Dining,Continental,1200
Monet's Bistro,0,0,4.5,198,Indiranagar,Cafe,Cafe,600
Plan B,0,0,4.2,1651,Indiranagar,Casual Dining,Continental,1200
Empire Restaurant,1,0,4.2,8185,Indiranagar,Casual Dining,North Indian,750
Haute,0,1,4.2,69,Indiranagar,Casual Dining,Continental,1200
Swing,0,1,3.8,201,Indiranagar,Casual Dining,North Indian,1000
Sanchez Taqueria & Cantina,0,0,4.1,57,Indiranagar,Casual Dining,Continental,800
Wall Street 657,0,0,4.1,1858,Indiranagar,Bar,Fast Food,1200
Xtreme Sports Bar,0,1,3.6,1111,Indiranagar,Casual Dining,Continental,1400
Agent Jack's Bar,0,1,4.0,592,Indiranagar,Bar,Continental,1300
Hangover,1,1,4.0,1413,Indiranagar,Bar,Asian,1500
Pecos Stones,0,1,4.2,1089,Indiranagar,Bar,Fast Food,1100
Soo Ra Sang,0,0,4.1,290,Indiranagar,Casual Dining,Asian,1500
Elongo's,0,0,3.9,48,Indiranagar,Bar,Fast Food,900
Wanley,0,0,4.0,514,Indiranagar,Casual Dining,Asian,500
Blu Oyster,0,1,0.0,0,Indiranagar,Casual Dining,Seafood,1500
Sherlock's Pub,0,1,3.9,644,Indiranagar,Bar,Continental,1500
A2B - Adyar Ananda Bhavan,1,0,3.0,564,Indiranagar,Casual Dining,South Indian,400
The Tiny Taproom,0,0,0.0,0,Indiranagar,Bar,South Indian,800
Pot-O-Noodles,0,0,4.5,60,Indiranagar,Casual Dining,Asian,800
Annapoorani,0,0,3.9,434,Indiranagar,Casual Dining,South Indian,500
Jimi's Beer Cafe,0,1,3.9,815,Indiranagar,Bar,Continental,1700
Bflat Bar,0,1,3.9,854,Indiranagar,Casual Dining,North Indian,1600
Bootlegger,0,1,4.0,601,Indiranagar,Casual Dining,Continental,1800
The Mad Teapot,0,1,4.1,289,Indiranagar,Cafe,Cafe,850
UTHRA,0,1,4.0,103,Indiranagar,Casual Dining,North Indian,800
Doff Pub and Lounge,0,1,4.1,1341,Indiranagar,Casual Dining,Continental,1500
Thai House,1,0,4.2,224,Indiranagar,Casual Dining,Asian,800
Regulars Pub & Grub,0,1,3.8,263,Indiranagar,Bar,Continental,1000
Nakkshatra,0,1,3.9,79,Indiranagar,Casual Dining,North Indian,1100
New Shanthi Sagar,0,0,2.8,211,Indiranagar,Casual Dining,South Indian,650
The Beer Joint,0,0,3.4,77,Indiranagar,Casual Dining,North Indian,800
Blistering Barnacles,0,1,3.9,1214,Indiranagar,Bar,Asian,1200
Cafe Ritzz,0,1,3.7,39,Indiranagar,Casual Dining,Continental,800
Take 5,0,0,3.5,10,Indiranagar,Casual Dining,Asian,1300
Shree Annapoorneshwari Mess,0,0,3.3,7,Indiranagar,Casual Dining,South Indian,200
Amexicano,0,0,3.8,31,East Bangalore,Quick Bites,Continental,400
Pizza Hut,1,0,3.1,10,Indiranagar,Casual Dining,Fast Food,750
Tea Garden,0,0,0.0,0,Indiranagar,Casual Dining,North Indian,600
Aishwarya Bar and Restaurant,0,0,0.0,0,Indiranagar,Bar,Fast Food,800
All Seasons Restaurants,0,0,0.0,0,Indiranagar,Casual Dining,North Indian,700
Swagath Authentic Nati Style,1,0,0.0,0,Indiranagar,Quick Bites,South Indian,350
H3O,0,0,3.1,11,Indiranagar,Bar,North Indian,1000
Bery's Cafe,0,0,0.0,0,Indiranagar,Quick Bites,Cafe,150
Sriracha Robata & Contemporary Pan Asian Dining,0,0,0.0,0,Indiranagar,Casual Dining,Asian,1000
Head O State,0,1,3.8,198,Indiranagar,Casual Dining,Continental,1000
One Night In Bangkok,0,0,0.0,0,Indiranagar,Casual Dining,Asian,1400
Mavalli Tiffin Room (MTR),0,0,4.3,1878,Indiranagar,Quick Bites,South Indian,300
Sendhoor Coffee,0,0,3.9,49,Indiranagar,Quick Bites,Cafe,150
KFC,1,0,3.1,668,Indiranagar,Quick Bites,Fast Food,450
Domino's Pizza,1,0,3.0,464,Indiranagar,Quick Bites,Fast Food,800
Five Star Chicken,1,0,3.7,78,Indiranagar,Quick Bites,Fast Food,200
eat.fit,1,1,0.0,0,Indiranagar,Quick Bites,South Indian,300
Leon Grill,1,0,4.2,315,Indiranagar,Quick Bites,Fast Food,500
Cafe Srinidhi,0,0,3.4,90,Indiranagar,Quick Bites,South Indian,200
The Chennai Express,0,0,3.8,166,Indiranagar,Quick Bites,South Indian,200
Kylie's,0,0,4.2,261,Indiranagar,Quick Bites,Asian,500
Happenwell Cafe Lounge,0,0,0.0,0,Indiranagar,Quick Bites,North Indian,300
Shivaji Military Hotel,0,0,3.2,4,Indiranagar,Quick Bites,South Indian,150
Halli Mane Rotti,0,0,3.4,8,Indiranagar,Quick Bites,South Indian,150
California Burrito,0,0,4.2,253,Indiranagar,Quick Bites,Continental,400
Ambur Biriyani,0,0,3.5,41,Indiranagar,Quick Bites,South Indian,250
Rotti Mane,1,0,3.6,20,Indiranagar,Quick Bites,South Indian,200
Pathaan Sir,1,0,3.4,155,Indiranagar,Quick Bites,Fast Food,250
Chakum Chukum Calcutta On A Roll,1,0,3.4,89,Indiranagar,Quick Bites,Fast Food,400
Aadhya's Fresh and Rich,0,0,0.0,0,Indiranagar,Quick Bites,Fast Food,250
Subway,1,0,2.4,258,Indiranagar,Quick Bites,South Indian,600
Ambur Dum Biriyani,0,0,3.1,10,Indiranagar,Quick Bites,South Indian,200
Chai & Kadi,0,0,3.8,30,Indiranagar,Quick Bites,South Indian,200
Chaithanya Veg,0,0,3.7,38,Indiranagar,Quick Bites,South Indian,200
Lazer Castle,0,0,3.0,28,Indiranagar,Quick Bites,Fast Food,300
Om Sai Skanda Dosa Camp,0,0,3.9,29,Indiranagar,Quick Bites,South Indian,150
Vani Hindu Military Hotel,0,0,3.3,4,Indiranagar,Quick Bites,South Indian,250
Chaithanya Xpress,0,0,3.6,12,Indiranagar,Quick Bites,South Indian,300
Goli Vada Pav No. 1,0,0,3.6,39,Indiranagar,Quick Bites,Fast Food,200
Smoodys,0,0,3.0,14,Indiranagar,Quick Bites,Fast Food,350
BR Military Hotel,0,0,3.1,6,Indiranagar,Quick Bites,South Indian,300
King Burger Cafeteria,0,0,3.1,11,Indiranagar,Quick Bites,Fast Food,250
Shahi Biryani,0,0,0.0,0,Indiranagar,Quick Bites,South Indian,200
Brindhavanam Refreshment,0,0,0.0,0,Indiranagar,Quick Bites,South Indian,200
Mini Wok,0,0,0.0,0,Indiranagar,Quick Bites,Asian,200
Sri Vasavi Super Sandwich,0,0,3.1,19,Indiranagar,Quick Bites,Fast Food,200
Juiceca,0,0,0.0,0,Indiranagar,Quick Bites,Cafe,200
Cool cafe,0,0,0.0,0,Indiranagar,Quick Bites,Beverages,200
Hatti Kaapi,0,0,0.0,0,Indiranagar,Quick Bites,South Indian,200
Kerala Mess,0,0,3.6,33,Indiranagar,Quick Bites,South Indian,300
Murphy's Brewhouse - The Paul Bangalore,0,1,4.3,2031,Domlur,Bar,Continental,1700
Vembanad - The Paul,0,1,4.2,325,Domlur,Casual Dining,Seafood,1800
Gurukrupa Paratha House,1,0,3.1,330,Domlur,Casual Dining,North Indian,500
The Velu's,0,0,3.6,12,Domlur,Quick Bites,Fast Food,200
Chef Inn Regency,0,0,3.3,4,Domlur,Casual Dining,North Indian,800
Vinny's,1,0,4.1,360,Domlur,Casual Dining,Fast Food,600
Masala Dani - The Paul,0,0,3.7,56,Domlur,Casual Dining,North Indian,1800
Quench Bar,0,0,4.0,108,Domlur,Bar,Seafood,1300
Malabar,1,0,3.0,159,Jeevan Bhima Nagar,Quick Bites,South Indian,400
Banana Leaf,0,0,3.5,12,Domlur,Casual Dining,South Indian,500
Night Booze,0,0,3.2,8,Thippasandra,Casual Dining,North Indian,600
Sandras Bar & Restaurant,0,0,3.2,10,Thippasandra,Casual Dining,North Indian,600
Sri Ganesh Fruit Juice Centre,1,0,3.6,17,Thippasandra,Quick Bites,Cafe,100
Serenitea4u,0,0,3.4,9,Jeevan Bhima Nagar,Quick Bites,Beverages,100
Haveli,0,0,3.6,22,Thippasandra,Casual Dining,North Indian,300
The Cool Zone,0,0,0.0,0,Domlur,Quick Bites,Beverages,100
Sri Krishna Sagar,0,0,3.6,64,Domlur,Quick Bites,South Indian,150
Chai Resto,0,0,3.3,5,Jeevan Bhima Nagar,Quick Bites,Fast Food,200
Faasos,1,0,4.1,110,Thippasandra,Quick Bites,North Indian,500
Shri Krishna Bhavan,0,0,3.7,96,Thippasandra,Quick Bites,South Indian,350
Momo Rice Noodles,1,0,3.2,84,Domlur,Quick Bites,Asian,600
Neer Dose Fish Land,0,0,3.5,8,Domlur,Quick Bites,South Indian,250
Mary Cafe,0,0,3.3,17,Thippasandra,Quick Bites,Asian,150
Lazzat Biriyani,0,0,0.0,0,Domlur,Quick Bites,South Indian,200
Home Touch Hotel,0,0,3.2,4,Jeevan Bhima Nagar,Quick Bites,South Indian,150
Biryani Palace,0,0,3.2,7,Jeevan Bhima Nagar,Quick Bites,South Indian,200
Krish Punjabi Kitchen,0,0,3.6,17,Thippasandra,Quick Bites,North Indian,500
Donne Biryani Angadi Mane,0,0,3.1,8,Thippasandra,Quick Bites,South Indian,250
Sri Lakshmi Darshini,0,0,3.4,5,Thippasandra,Quick Bites,South Indian,150
Kolkata Famous Kati Roll,0,0,0.0,0,Domlur,Quick Bites,Fast Food,150
Refresh,0,0,0.0,0,Thippasandra,Quick Bites,Fast Food,150
Nimma Mane,0,0,0.0,0,Domlur,Quick Bites,South Indian,100
Domlur Cafe,0,0,0.0,0,Domlur,Quick Bites,South Indian,200
ONS Food,0,0,0.0,0,Thippasandra,Quick Bites,North Indian,150
Big Pitcher,0,1,4.7,9041,Old Airport Road,Bar,Continental,1800
Yauatcha,0,1,4.6,2332,MG Road,Casual Dining,Asian,2800
Citrus - The Leela Palace,0,1,4.2,590,Old Airport Road,Casual Dining,North Indian,3500
Caraway Kitchen - Conrad Bengaluru,0,1,4.3,147,Ulsoor,Casual Dining,Continental,2800
Jamavar - The Leela Palace,0,1,4.2,519,Old Airport Road,Casual Dining,North Indian,4000
CloudNYN - Sterling Mac Hotel,0,0,4.1,403,Old Airport Road,Bar,Fast Food,1000
Limelight - Royal Orchid Hotel,0,1,4.0,421,Old Airport Road,Casual Dining,Continental,2200
Tiamo - Conrad Bengaluru,0,1,4.2,139,Ulsoor,Casual Dining,Continental,2500
Bangalore Pub Exchange,0,1,4.1,207,MG Road,Bar,Continental,1000
Zen - The Leela Palace,0,1,4.1,245,Old Airport Road,Casual Dining,Asian,3500
Tiger Trail - Royal Orchid Hotel,0,1,4.1,303,Old Airport Road,Casual Dining,North Indian,2000
XU,0,1,4.0,427,Old Airport Road,Bar,Continental,2400
Smaaash,0,1,4.2,536,MG Road,Casual Dining,North Indian,1500
Le Cirque Signature - The Leela Palace,0,1,4.3,126,Old Airport Road,Casual Dining,Continental,6000
Slo' Food Co.2,0,0,3.7,41,Ulsoor,Casual Dining,Continental,2000
Ice - Taj MG Road Bengaluru,0,1,4.1,609,MG Road,Bar,Continental,2800
Fort Kochi,0,1,4.1,334,MG Road,Casual Dining,South Indian,1800
Odia Dine,0,0,3.8,47,Old Airport Road,Casual Dining,East Indian,400
New Udupi Garden,0,0,3.6,14,Old Airport Road,Quick Bites,South Indian,300
Polo Club - The Oberoi,0,0,4.1,115,MG Road,Casual Dining,Continental,3000
Library Bar - The Leela Palace,0,0,3.9,108,Old Airport Road,Casual Dining,Fast Food,3000
The Punjabi Bites,0,0,3.9,82,Old Airport Road,Quick Bites,North Indian,150
Mighty Small,0,0,4.1,258,MG Road,Casual Dining,Continental,1200
Kolkata Famous Kati Rolls,0,0,3.4,8,Old Airport Road,Quick Bites,Fast Food,150
WAT Bar - Sterlings MAC Hotel,0,0,3.8,46,Old Airport Road,Casual Dining,Continental,1800
Liquid Lounge - Hyatt Centric MG Road,0,1,4.0,91,Ulsoor,Casual Dining,Fast Food,2400
Svi Food And Juice,0,0,0.0,0,Ulsoor,Quick Bites,North Indian,300
The Spice Box,0,0,3.6,30,Old Airport Road,Casual Dining,North Indian,800
Barista,0,0,3.5,12,CV Raman Nagar,Cafe,Cafe,300
7 Hills Andhra Mess,0,0,3.4,8,CV Raman Nagar,Casual Dining,South Indian,300
J's Pastas and Pizzas,0,0,4.0,142,Old Airport Road,Unknown,Fast Food,300
Drunken Monkey,1,0,3.1,14,CV Raman Nagar,Quick Bites,Beverages,400
Om Shakti Hotel,0,0,0.0,0,Old Airport Road,Quick Bites,South Indian,200
Food Of Punjab,0,0,3.7,19,Ulsoor,Quick Bites,North Indian,200
Indian Masala House,0,0,0.0,0,CV Raman Nagar,Quick Bites,South Indian,250
RJ Food Plaza,0,0,3.1,6,Old Airport Road,Quick Bites,North Indian,200
Daily Bread,0,0,3.0,5,Old Airport Road,Quick Bites,Fast Food,600
S R Kabab Corner,0,0,3.4,6,Old Madras Road,Quick Bites,North Indian,250
Kolkatta Famous Kati Rolls,0,0,3.2,15,Old Airport Road,Quick Bites,Asian,200
AMBUR HOT DUM BIRYANI,0,0,0.0,0,Old Airport Road,Quick Bites,South Indian,300
Hotel Dinesh,0,0,0.0,0,Ulsoor,Quick Bites,Fast Food,150
Get Ur Fix,0,0,0.0,0,CV Raman Nagar,Quick Bites,Fast Food,300
Rolls & Biryani,0,0,0.0,0,Old Airport Road,Quick Bites,Fast Food,250
Santruptii Sagar,0,0,0.0,0,CV Raman Nagar,Quick Bites,South Indian,200
Peter's Food Junction,0,0,0.0,0,Old Airport Road,Quick Bites,Fast Food,250
M.M.A Kababs Rolls & Biryani Center,1,0,2.7,67,Old Madras Road,Quick Bites,North Indian,300
Nagli Veg & Non Veg,0,0,0.0,0,Old Airport Road,Quick Bites,North Indian,150
Chit Chat Cafe,0,0,0.0,0,Old Airport Road,Quick Bites,Fast Food,150
Inntense Restobar,0,1,0.0,0,Indiranagar,Bar,Fast Food,1600
Jeff's - Royal Orchid Hotel,0,0,3.9,73,Old Airport Road,Bar,Asian,1800
Goofy's,0,0,3.2,8,Indiranagar,Bar,Fast Food,1000
Sea Lions BBQ & Grills,0,1,4.6,538,Jayanagar,Casual Dining,North Indian,1100
Subz,1,1,4.2,2025,Jayanagar,Casual Dining,North Indian,1000
Fusion Theory,1,1,0.0,0,Jayanagar,Casual Dining,Asian,700
1947,0,1,4.1,2309,Jayanagar,Casual Dining,North Indian,950
Cable Car,1,1,4.3,1247,Jayanagar,Casual Dining,North Indian,1000
Chutney Chang,1,1,4.1,2342,Jayanagar,Casual Dining,North Indian,1500
Empire Restaurant,1,0,4.4,4892,Jayanagar,Casual Dining,North Indian,750
Samskruti - Sanman Gardenia,1,0,4.0,140,Jayanagar,Casual Dining,North Indian,550
The Sofraah Kebabs & Kurries - Eden Park Restaurants,0,1,3.8,176,Jayanagar,Casual Dining,North Indian,1350
AB's - Absolute Barbecues,0,1,4.9,6404,BTM,Casual Dining,Continental,1600
Deja Vu Resto Bar,1,1,4.4,2496,Bannerghatta Road,Bar,North Indian,900
Barbeque Nation,0,1,4.7,3855,JP Nagar,Casual Dining,North Indian,1600
Sattvam,0,0,4.3,357,JP Nagar,Casual Dining,North Indian,1200
Village - The Soul of India,0,1,4.1,2461,JP Nagar,Casual Dining,North Indian,1000
24th Main,0,1,4.1,1239,JP Nagar,Casual Dining,North Indian,800
Zaitoon,1,1,4.1,1547,JP Nagar,Casual Dining,Continental,1000
Jalsa,1,1,4.1,783,Banashankari,Casual Dining,North Indian,800
Oye Amritsar,1,1,3.8,763,JP Nagar,Casual Dining,North Indian,600
Nouvelle Garden,0,0,3.7,203,JP Nagar,Casual Dining,North Indian,900
The Maori - Aurick Boutique Hotel,0,0,3.5,44,JP Nagar,Casual Dining,Asian,1000
Tea Villa Cafe,0,1,4.2,656,Jayanagar,Cafe,Cafe,800
Cafe Cosy,0,1,4.1,113,Jayanagar,Cafe,Cafe,800
Dr. Sheesha,0,1,4.1,1445,JP Nagar,Cafe,Cafe,800
Go Native,1,1,4.3,1265,Jayanagar,Casual Dining,South Indian,800
Alchemy Coffee Roasters,0,0,4.2,713,Jayanagar,Cafe,Cafe,500
Enerjuvate Studio & Cafe,0,1,4.2,738,Jayanagar,Cafe,Cafe,800
Fabcafe,0,1,3.5,11,Jayanagar,Cafe,Cafe,800
The Caramelts Cafe,0,0,4.1,226,Jayanagar,Cafe,Cafe,800
SlimSins Cafe,0,0,4.1,710,Jayanagar,Cafe,Cafe,850
Cafe Ajfan,1,0,4.2,265,Jayanagar,Cafe,Cafe,700
Krazzy Folds,1,1,4.3,1907,Jayanagar,Cafe,Cafe,800
The Blue Wagon - Kitchen,1,0,4.6,233,Jayanagar,Cafe,Cafe,400
36th Cross Coffee Mane,0,0,3.6,19,Jayanagar,Quick Bites,South Indian,200
Grazers,1,1,3.9,295,Jayanagar,Cafe,Cafe,650
Java City,1,0,2.5,157,Jayanagar,Cafe,Cafe,450
Cafe Coffee Day,1,0,2.9,33,Jayanagar,Cafe,Cafe,650
Chaai Resto,1,0,0.0,0,Jayanagar,Quick Bites,Cafe,250
People Tree Cafe,0,0,3.7,167,Jayanagar,Cafe,Cafe,400
Slate Cafe,1,0,4.1,53,JP Nagar,Cafe,Cafe,600
Skyline Pizzeria,0,0,3.9,764,JP Nagar,Cafe,Cafe,600
Cafe Shuffle,1,1,4.2,152,Banashankari,Cafe,Cafe,600
D View Cafe,1,0,4.0,510,JP Nagar,Cafe,Cafe,1000
Onesta,1,1,4.4,4410,JP Nagar,Casual Dining,Fast Food,600
Smoor,1,0,3.6,17,Bannerghatta Road,Dessert,Cafe,900
Pancuzzi,1,0,4.2,170,JP Nagar,Cafe,Cafe,600
TAB - Take A Break,0,0,4.1,522,JP Nagar,Cafe,Cafe,550
Kirthi's Biryani,1,0,3.8,145,Banashankari,Cafe,Asian,700
